	open	ma5	close	volume	ochl_1	ochl_2	ochl_3	ochl_4	ochl_5
1087	949.584	954.077	963.774	1657943100.0	970.193	969.598	967.495	971.136	961.919
1088	949.779	948.6442	949.506	1167261300.0	963.774	970.193	969.598	967.495	971.136
1089	955.112	949.2864	949.065	1621931000.0	949.506	963.774	970.193	969.598	967.495
1090	954.273	949.0476	955.282	2242439300.0	949.065	949.506	963.774	970.193	969.598
1091	934.991	946.903	952.758	1960846600.0	955.282	949.065	949.506	963.774	970.193
1092	953.41	941.9346	936.61	2122225500.0	952.758	955.282	949.065	949.506	963.774
1093	949.077	937.5886	952.717	1784331800.0	936.61	952.758	955.282	949.065	949.506
1094	945.978	930.5194	947.871	1861443800.0	952.717	936.61	952.758	955.282	949.065
1095	928.52	926.5968	944.559	2230638400.0	947.871	952.717	936.61	952.758	955.282
1096	915.122	923.7086	927.916	1462363000.0	944.559	947.871	952.717	936.61	952.758
1097	916.086	924.2556	914.88	1243817000.0	927.916	944.559	947.871	952.717	936.61
1098	928.341	925.9624	917.371	1546226100.0	914.88	927.916	944.559	947.871	952.717
1099	930.246	928.8228	928.258	1542980400.0	917.371	914.88	927.916	944.559	947.871
1100	930.975	927.7788	930.118	1629205700.0	928.258	917.371	914.88	927.916	944.559
1101	923.558	925.8894	930.651	1595974700.0	930.118	928.258	917.371	914.88	927.916
1102	931.809	930.3616	923.414	1540648800.0	930.651	930.118	928.258	917.371	914.88
1103	923.108	934.6904	931.673	1603101000.0	923.414	930.651	930.118	928.258	917.371
1104	918.091	939.2562	923.038	2224267900.0	931.673	923.414	930.651	930.118	928.258
1105	954.155	942.3118	920.671	3185532700.0	923.038	931.673	923.414	930.651	930.118
1106	943.405	948.976	953.012	2145776900.0	920.671	923.038	931.673	923.414	930.651
1107	955.27	946.4476	945.058	2386181800.0	953.012	920.671	923.038	931.673	923.414
1108	937.705	944.0538	954.502	2043081300.0	945.058	953.012	920.671	923.038	931.673
1109	954.719	938.6476	938.316	2916814400.0	954.502	945.058	953.012	920.671	923.038
1110	940.785	935.745	953.992	2707366600.0	938.316	954.502	945.058	953.012	920.671
1111	933.26	925.7766	940.37	2151576300.0	953.992	938.316	954.502	945.058	953.012
1112	926.973	919.6166	933.089	1953290700.0	940.37	953.992	938.316	954.502	945.058
1113	926.571	913.7184	927.471	2160894400.0	933.089	940.37	953.992	938.316	954.502
1114	904.039	906.5456	923.803	1912376500.0	927.471	933.089	940.37	953.992	938.316
1115	907.42	899.4178	904.15	1451925600.0	923.803	927.471	933.089	940.37	953.992
1116	905.181	896.7648	909.57	2578629800.0	904.15	923.803	927.471	933.089	940.37
1117	892.13	893.6532	903.598	1429254700.0	909.57	904.15	923.803	927.471	933.089
1118	887.718	888.2296	891.607	1180830900.0	903.598	909.57	904.15	923.803	927.471
1119	889.41	881.2802	888.164	1339740600.0	891.607	903.598	909.57	904.15	923.803
1120	893.879	875.586	890.885	2062252700.0	888.164	891.607	903.598	909.57	904.15
1121	876.942	866.2064	894.012	2040953700.0	890.885	888.164	891.607	903.598	909.57
1122	856.189	855.9322	876.48	2182677600.0	894.012	890.885	888.164	891.607	903.598
1123	858.328	847.7578	856.86	1181608000.0	876.48	894.012	890.885	888.164	891.607
1124	847.541	842.9848	859.693	2163097600.0	856.86	876.48	894.012	890.885	888.164
